title,br_id,media_type,distributor,genres,rating,bluray_ratings,media_img,release_date
Twister (1996),5978,dvd,No title given.,Action; Thriller; Adventure; Drama,7.1,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/dvdcovers/5978_medium.jpg?t=0,NA
Varan the Unbelievable (1958),77570,dvd,Tokyo Shock,Sci-Fi,6.2,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/77570_medium.jpg?t=1389753517,"May 10, 2005"
Video Violence (1986),117545,dvd,Camp Motion Pictures,,NA,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/dvdcovers/117545_medium.jpg?t=1452544035,"Apr 10, 2007"
War in Space (1977),81035,dvd,Discotek Media,Foreign; Sci-Fi; Adventure,6.8,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/dvdcovers/81035_medium.jpg?t=1393456632,"Apr 25, 2006"
The Warlords (2007),6726,dvd,Magnolia Pictures,Action; Foreign; Martial arts; History; War; Period; Drama; Melodrama,7.2,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/6726_medium.jpg?t=1325479310,"Jun 29, 2010"
The White Dragon (2004),101336,dvd,No title given.,Foreign; Romance; Comedy; Adventure; Action; Fantasy,7.1,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/101336_medium.jpg?t=1423953979,NA
Wolf Creek (2005),1017,dvd,Dimension Films,Horror; Thriller; Crime; Adventure,6.5,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/dvdcovers/1017_medium.jpg?t=1454948614,"Apr 11, 2006"
The X from Outer Space (1967),92600,dvd,No title given.,Horror; Sci-Fi,6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/dvdcovers/92600_medium.jpg?t=1408279319,NA
Zeiram Duology (1991-1994),82840,dvd,Tokyo Shock,Foreign; Sci-Fi; Adventure; Action,7.2,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/82840_medium.jpg?t=1395040202,1994
Zombi 2 (1979),9663,dvd,Shriek Show,Horror; Foreign,7.5,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/9663_medium.jpg?t=1317022906,"Jul 27, 2004"
Zombies: The Beginning (2007),100458,dvd,Intervision Picture Corp,Horror; Action,6.5,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/dvdcovers/100458_medium.jpg?t=1420838809,"Feb 10, 2015"
Zu Warriors (2001),46855,dvd,Lionsgate Films,Foreign; Action; Fantasy,6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/dvdcovers/46855_medium.jpg?t=0,"Jan 06, 2012"
The 'Burbs (1989),194752,blu_ray,Shout Factory,Dark humor; Teen; Comedy,7.6,3D = 0.0; 4K = 0.0; Audio = 3.8; Extras = 4.2; Video = 3.8,https://images4.static-bluray.com/movies/covers/194752_medium.jpg?t=1518660133,"Mar 20, 2018"
12 Angry Men (1957),7736,blu_ray,Criterion,Drama; Crime,9.1,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 4.5; Video = 4.5,https://images3.static-bluray.com/movies/covers/7736_medium.jpg?t=1541133037,"Nov 22, 2011"
12 Monkeys (1995),211467,blu_ray,Arrow,Drama; Psychological thriller; Surreal; Mystery; Thriller; Sci-Fi,8,3D = 0.0; 4K = 0.0; Audio = 4.4; Extras = 4.4; Video = 4.6,https://images.static-bluray.com/movies/covers/211467_medium.jpg?t=1560729340,"Oct 30, 2018"
1984 (1984),240711,blu_ray,Criterion,Drama; Sci-Fi,7.2,3D = 0.0; 4K = 0.0; Audio = 4.8; Extras = 4.2; Video = 5.0,https://images3.static-bluray.com/movies/covers/240711_medium.jpg?t=1555362716,"Jul 23, 2019"
2001: A Space Odyssey 4K (1968),224350,blu_ray,Warner Bros.,Drama; Epic; Mystery; Sci-Fi; Adventure,8.8,3D = 0.0; 4K = 5.0; Audio = 4.9; Extras = 3.9; Video = 5.0,https://images2.static-bluray.com/movies/covers/224350_medium.jpg?t=1543416787,"Dec 18, 2018"
2010: The Year We Make Contact (1984),3443,blu_ray,Warner Bros.,Sci-Fi; Adventure; Thriller; Mystery,7.2,3D = 0.0; 4K = 0.0; Audio = 3.9; Extras = 1.9; Video = 3.7,https://images4.static-bluray.com/movies/covers/3443_medium.jpg?t=0,"Apr 07, 2009"
2012 (2009),9149,blu_ray,Sony Pictures,Action; Adventure; Thriller; Sci-Fi; Drama,6,3D = 0.0; 4K = 0.0; Audio = 4.7; Extras = 3.8; Video = 4.6,https://images3.static-bluray.com/movies/covers/9149_medium.jpg?t=1334095184,"Mar 02, 2010"
21 Jump Street / 22 Jump Street (2012-2014),171018,blu_ray,Sony Pictures,Comedy; Action; Crime,7.4,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/covers/171018_medium.jpg?t=1482568564,2014
28 Days Later / 28 Weeks Later (2002-2007),69660,blu_ray,20th Century Fox,Thriller; Horror; Sci-Fi; Supernatural,7.5,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/covers/69660_medium.jpg?t=1414217439,2007
4 Film Favorites: Teenage Mutant Ninja Turtles (1990-2007),74066,blu_ray,Warner Bros.,Action; Adventure; Fantasy; Comedy; Comic book; Family; Martial arts; Animation; Sci-Fi,6.3,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 2.0; Video = 3.2,https://images.static-bluray.com/movies/covers/74066_medium.jpg?t=1386285729,2007
50 Years of Planet of the Apes: 9-Movie Collection (1968-2017),213673,blu_ray,20th Century Fox,Action; Sci-Fi; Adventure; Thriller; Epic; Drama; Mystery; Romance,7.1,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/covers/213673_medium.jpg?t=1543211342,2017
The 6th Day (2000),671,blu_ray,Sony Pictures,Action; Thriller; Sci-Fi,6.3,3D = 0.0; 4K = 0.0; Audio = 4.4; Extras = 2.9; Video = 4.4,https://images4.static-bluray.com/movies/covers/671_medium.jpg?t=1395639412,"Apr 08, 2008"
Abominable (2006),199247,blu_ray,MVD Visual,Horror,6.1,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 3.5; Video = 4.0,https://images4.static-bluray.com/movies/covers/199247_medium.jpg?t=1518504709,"Jun 12, 2018"
Absurd (1981),212596,blu_ray,Severin Films,Horror; Foreign,6.3,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 3.5; Video = 4.0,https://images.static-bluray.com/movies/covers/212596_medium.jpg?t=1537753606,"Sep 25, 2018"
Aces: Iron Eagle III (1992),239627,blu_ray,Kino Lorber,Drama; Action,5.4,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 1.0; Video = 4.0,https://images.static-bluray.com/movies/covers/239627_medium.jpg?t=1570478030,"Dec 10, 2019"
The Adventures of Buckaroo Banzai Across the 8th Dimension (1984),198334,blu_ray,Shout Factory,Adventure; Comedy; Romance; Sci-Fi,6.9,3D = 0.0; 4K = 0.0; Audio = 3.8; Extras = 4.5; Video = 3.8,https://images4.static-bluray.com/movies/covers/198334_medium.jpg?t=1518575676,"May 15, 2018"
The Adventures of Hercules II (1985),178847,blu_ray,Shout Factory,Fantasy; Adventure,5.8,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/178847_medium.jpg?t=1493777315,"Aug 22, 2017"
Akira (1988),82163,blu_ray,FUNimation Entertainment,Anime; Foreign; Sci-Fi; Action; Fantasy; Comic book; Drama; Thriller,8.3,3D = 0.0; 4K = 0.0; Audio = 5.0; Extras = 3.0; Video = 4.2,https://images2.static-bluray.com/movies/covers/82163_medium.jpg?t=1501365848,"Nov 12, 2013"
"Alice, Sweet Alice (1976)",140799,blu_ray,Arrow,Horror; Mystery; Thriller,7,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 4.5; Video = 4.5,https://images2.static-bluray.com/movies/covers/140799_medium.jpg?t=1559312884,"Aug 06, 2019"
Alien: 6 Film Collection (1979-2017),180040,blu_ray,20th Century Fox,Sci-Fi; Action; Thriller; Horror; Adventure; Mystery,7.4,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/180040_medium.jpg?t=1495250709,2017
Alien 4K (1979),235265,blu_ray,20th Century Fox,Sci-Fi; Action; Thriller; Horror,9,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/235265_medium.jpg?t=1551086351,"Apr 23, 2019"
Alienator (1990),173318,blu_ray,Shout Factory,Action; Sci-Fi,5.8,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 3.5; Video = 3.0,https://images.static-bluray.com/movies/covers/173318_medium.jpg?t=1499306864,"Jun 13, 2017"
Alita: Battle Angel 4K + 3D (2019),240060,blu_ray,20th Century Fox,Action; Sci-Fi; Comic book; Adventure; Romance,7.9,3D = 4.8; 4K = 4.2; Audio = 4.8; Extras = 3.8; Video = 4.5,https://images4.static-bluray.com/movies/covers/240060_medium.jpg?t=1564653572,"Jul 23, 2019"
American Ninja (1985),93657,blu_ray,Olive Films,Martial arts; Crime; Action; Drama,6.1,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 3.5; Video = 3.5,https://images2.static-bluray.com/movies/covers/93657_medium.jpg?t=1475083116,"Aug 16, 2016"
American Ninja 2: The Confrontation (1987),82220,blu_ray,Olive Films,Action; Drama,6,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 3.0; Video = 3.5,https://images2.static-bluray.com/movies/covers/82220_medium.jpg?t=1475084788,"Aug 16, 2016"
American Ninja 3: Blood Hunt (1989),156780,blu_ray,Olive Films,Action; Drama,5.1,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 2.5; Video = 4.0,https://images3.static-bluray.com/movies/covers/156780_medium.jpg?t=1475084916,"Aug 16, 2016"
American Ninja 4: The Annihilation (1990),156781,blu_ray,Olive Films,Action; Martial arts; Crime; Drama,5.7,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 2.0; Video = 3.2,https://images4.static-bluray.com/movies/covers/156781_medium.jpg?t=1475085043,"Aug 16, 2016"
American Psycho 4K (2000),208828,blu_ray,Lionsgate Films,Thriller; Crime; Dark humor,7.8,3D = 0.0; 4K = 4.5; Audio = 4.8; Extras = 4.0; Video = 3.8,https://images4.static-bluray.com/movies/covers/208828_medium.jpg?t=1531832003,"Sep 25, 2018"
An American Werewolf in London (1981),248904,blu_ray,Arrow,Horror; Supernatural; Dark humor,8.1,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 5.0; Video = 4.5,https://images.static-bluray.com/movies/covers/248904_medium.jpg?t=1564174941,"Oct 29, 2019"
Amityville: The Cursed Collection (1989-1996),252702,blu_ray,Vinegar Syndrome,Horror,5.4,3D = 0.0; 4K = 0.0; Audio = 4.2; Extras = 3.2; Video = 4.5,https://images4.static-bluray.com/movies/covers/252702_medium.jpg?t=1568605217,1996
The Angel Collection (1984-1988),256146,blu_ray,Vinegar Syndrome,Action; Crime; Thriller,6.4,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 4.5; Video = 5.0,https://images2.static-bluray.com/movies/covers/256146_medium.jpg?t=1576354013,1988
Annihilation (2018),199934,blu_ray,Paramount Pictures,Sci-Fi; Horror; Mystery; Thriller; Drama,7.4,3D = 0.0; 4K = 0.0; Audio = 4.8; Extras = 3.4; Video = 3.8,https://images.static-bluray.com/movies/covers/199934_medium.jpg?t=1524043581,"May 29, 2018"
Anthropophagous (1980),183158,blu_ray,Severin Films,Horror; Foreign,6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/covers/183158_medium.jpg?t=1537753590,"Sep 25, 2018"
Apocalypse Now 4K (1979),241662,blu_ray,Lionsgate Films,Drama; Epic; War,8.9,3D = 0.0; 4K = 4.6; Audio = 4.8; Extras = 4.7; Video = 3.6,https://images3.static-bluray.com/movies/covers/241662_medium.jpg?t=1567432453,"Aug 27, 2019"
Apollo 13 4K (1995),186542,blu_ray,Universal Studios,Adventure; History; Drama,8.2,3D = 0.0; 4K = 2.9; Audio = 4.6; Extras = 3.4; Video = 3.2,https://images4.static-bluray.com/movies/covers/186542_medium.jpg?t=1507104393,"Oct 17, 2017"
The Apu Trilogy (1955-1959),113510,blu_ray,Criterion,Drama; Foreign,7.9,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 5.0; Video = 5.0,https://images.static-bluray.com/movies/covers/113510_medium.jpg?t=1544990406,1959
Army of Darkness (1992),204626,blu_ray,Shout Factory,Horror; Supernatural; Dark humor; Comedy; Adventure; Fantasy; Action,7.8,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 0.0; Video = 4.0,https://images4.static-bluray.com/movies/covers/204626_medium.jpg?t=1525315465,"Aug 14, 2018"
Arrival 4K (2016),168185,blu_ray,Paramount Pictures,Sci-Fi; Drama; Mystery; Thriller,8.1,3D = 0.0; 4K = 3.8; Audio = 4.2; Extras = 3.5; Video = 3.6,https://images.static-bluray.com/movies/covers/168185_medium.jpg?t=1478729566,"Feb 14, 2017"
Assault on Precinct 13 (1976),195088,blu_ray,Shout Factory,Action; Crime; Thriller,7.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/195088_medium.jpg?t=1516484585,"Mar 27, 2018"
Audition (1999),225339,blu_ray,Arrow,Horror; Foreign,7.6,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 4.0; Video = 4.0,https://images4.static-bluray.com/movies/covers/225339_medium.jpg?t=1543616765,"Feb 12, 2019"
AVP Double Feature (2004-2007),111064,blu_ray,20th Century Fox,Action; Thriller; Sci-Fi; Horror; Comic book,5.6,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/covers/111064_medium.jpg?t=1408620498,2007
Back to the Future: 30th Anniversary Trilogy (1985-1990),137161,blu_ray,Universal Studios,Adventure; Sci-Fi; Family; Comedy; Teen; Period; Coming of age; Western,8.1,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images.static-bluray.com/movies/covers/137161_medium.jpg?t=1510451285,1990
The Banana Splits Movie (2019),245842,blu_ray,Warner Bros.,Horror; Dark humor; Comedy; Sci-Fi,6.1,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 1.5; Video = 4.0,https://images3.static-bluray.com/movies/covers/245842_medium.jpg?t=1570571914,"Aug 27, 2019"
Basket Case (1982),20665,blu_ray,Image Entertainment,Horror; Comedy,6.7,3D = 0.0; 4K = 0.0; Audio = 3.6; Extras = 3.1; Video = 4.0,https://images.static-bluray.com/movies/covers/20665_medium.jpg?t=0,"Sep 27, 2011"
Basket Case 2 (1990),157443,blu_ray,Synapse Films,Horror; Comedy,6.1,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 3.0; Video = 4.5,https://images4.static-bluray.com/movies/covers/157443_medium.jpg?t=1465424824,"Aug 09, 2016"
Basket Case 3: The Progeny (1991),157444,blu_ray,Synapse Films,Horror; Comedy,5.8,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 1.0; Video = 4.5,https://images.static-bluray.com/movies/covers/157444_medium.jpg?t=1465424907,"Aug 09, 2016"
Battle: Los Angeles (2011),22613,blu_ray,Sony Pictures,Action; Sci-Fi; Thriller,6.1,3D = 0.0; 4K = 0.0; Audio = 4.7; Extras = 3.3; Video = 4.6,https://images4.static-bluray.com/movies/covers/22613_medium.jpg?t=1333923907,"Jun 14, 2011"
Battle for the Lost Planet (1986-1988),128635,blu_ray,Vinegar Syndrome,Action; Adventure; Sci-Fi,6.3,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 4.5; Video = 4.5,https://images.static-bluray.com/movies/covers/128635_medium.jpg?t=1547853979,1988
The Bees (1978),126021,blu_ray,Vinegar Syndrome,Horror; Thriller,5.6,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 2.5; Video = 4.5,https://images2.static-bluray.com/movies/covers/126021_medium.jpg?t=1452760286,"Feb 23, 2016"
Beetlejuice (1988),213962,blu_ray,Warner Bros.,Comedy; Horror; Fantasy; Supernatural; Dark humor; Surreal,7.8,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/213962_medium.jpg?t=1538524287,"Oct 02, 2018"
Berserker (1987),252701,blu_ray,Vinegar Syndrome,Horror,6.5,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 4.5; Video = 4.5,https://images.static-bluray.com/movies/covers/252701_medium.jpg?t=1568830917,"Oct 29, 2019"
Beyond Evil (1980),250337,blu_ray,Vinegar Syndrome,Horror; Supernatural; Adventure,5.9,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 4.0; Video = 3.5,https://images4.static-bluray.com/movies/covers/250337_medium.jpg?t=1565817329,"Sep 24, 2019"
Beyond Re-Animator (2003),109948,blu_ray,Lionsgate Films,Horror; Dark humor; Sci-Fi,6.2,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 4.0; Video = 3.5,https://images3.static-bluray.com/movies/covers/109948_medium.jpg?t=1526351968,"Jul 24, 2018"
Beyond the Black Rainbow (2010),48018,blu_ray,Magnolia Pictures,Horror; Psychological thriller; Surreal; Period; Sci-Fi,7.1,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 0.9; Video = 4.2,https://images3.static-bluray.com/movies/covers/48018_medium.jpg?t=1398109037,"Sep 11, 2012"
Beyond the Door III (1989),252704,blu_ray,Vinegar Syndrome,Horror,6.1,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 4.0; Video = 4.5,https://images2.static-bluray.com/movies/covers/252704_medium.jpg?t=1569629021,"Oct 29, 2019"
Big Trouble in Little China (1986),252469,blu_ray,Shout Factory,Supernatural; Martial arts; Action; Comedy; Adventure; Fantasy,7.9,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images2.static-bluray.com/movies/covers/252469_medium.jpg?t=1568071068,"Dec 03, 2019"
The Bird with the Crystal Plumage (1970),194212,blu_ray,Arrow,Horror; Foreign; Mystery; Psychological thriller; Thriller,7.5,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/194212_medium.jpg?t=1518025227,"Feb 13, 2018"
Black Christmas (1974),111852,blu_ray,Shout Factory,Horror; Mystery; Thriller; Holiday,7.8,3D = 0.0; 4K = 0.0; Audio = 3.6; Extras = 5.0; Video = 4.5,https://images2.static-bluray.com/movies/covers/111852_medium.jpg?t=1473381527,"Dec 13, 2016"
Black Hawk Down 4K (2001),216931,blu_ray,Sony Pictures,Action; War; History; Drama,8.1,3D = 0.0; 4K = 4.8; Audio = 4.4; Extras = 4.8; Video = 4.8,https://images2.static-bluray.com/movies/covers/216931_medium.jpg?t=1551250143,"May 07, 2019"
"Black Mama, White Mama (1973)",145926,blu_ray,Arrow,Crime; Drama; Thriller,6.5,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 3.0; Video = 3.8,https://images3.static-bluray.com/movies/covers/145926_medium.jpg?t=1449870193,"Mar 22, 2016"
Black Swan (2010),117758,blu_ray,20th Century Fox,Drama; Psychological thriller; Mystery; Surreal,8.1,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images3.static-bluray.com/movies/covers/117758_medium.jpg?t=1453276517,"Jan 06, 2015"
Blade Runner (1982),18392,blu_ray,Warner Bros.,Sci-Fi; Epic; Thriller; Drama; Film-Noir,8.7,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 3.7; Video = 4.6,https://images3.static-bluray.com/movies/covers/18392_medium.jpg?t=1292341024,"Jan 04, 2011"
Blade Runner 2049 4K (2017),189774,blu_ray,Warner Bros.,Sci-Fi; Epic; Film-Noir; Mystery; Thriller; Drama,8.5,3D = 0.0; 4K = 4.9; Audio = 5.0; Extras = 3.6; Video = 4.6,https://images4.static-bluray.com/movies/covers/189774_medium.jpg?t=1514705101,"Jan 16, 2018"
The Blair Witch Project (1999),13876,blu_ray,Lionsgate Films,Horror; Thriller; Mystery; Drama,6.7,3D = 0.0; 4K = 0.0; Audio = 2.6; Extras = 3.5; Video = 2.5,https://images.static-bluray.com/movies/covers/13876_medium.jpg?t=1392179221,"Aug 31, 2010"
The Blob (1988),67619,blu_ray,Twilight Time,Horror; Sci-Fi,7.4,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 1.9; Video = 3.9,https://images.static-bluray.com/movies/covers/67619_medium.jpg?t=1416103020,"Oct 14, 2014"
The Blob (1988),246440,blu_ray,Shout Factory,Horror; Sci-Fi,7.4,3D = 0.0; 4K = 0.0; Audio = 4.8; Extras = 4.8; Video = 4.5,https://images4.static-bluray.com/movies/covers/246440_medium.jpg?t=1561673442,"Oct 29, 2019"
Blood Beat (1983),187602,blu_ray,Vinegar Syndrome,Horror; Holiday,6.1,3D = 0.0; 4K = 0.0; Audio = 3.0; Extras = 4.0; Video = 4.5,https://images2.static-bluray.com/movies/covers/187602_medium.jpg?t=1503722086,"Oct 24, 2017"
Blood Diner (1987),157115,blu_ray,Lionsgate Films,Horror; Comedy,6.3,3D = 0.0; 4K = 0.0; Audio = 3.8; Extras = 3.5; Video = 3.5,https://images2.static-bluray.com/movies/covers/157115_medium.jpg?t=1470072858,"Sep 27, 2016"
Blood Harvest (1987),215300,blu_ray,Vinegar Syndrome,Horror,6.2,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 4.0; Video = 4.5,https://images3.static-bluray.com/movies/covers/215300_medium.jpg?t=1537587882,"Oct 30, 2018"
Blood Hook (1986),201046,blu_ray,Vinegar Syndrome,Horror; Comedy,6.4,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 4.5; Video = 5.0,https://images3.static-bluray.com/movies/covers/201046_medium.jpg?t=1521175022,"May 01, 2018"
The Blood Island Collection (1959-1971),216614,blu_ray,Severin Films,Horror; Sci-Fi,6,3D = 0.0; 4K = 0.0; Audio = 3.2; Extras = 4.5; Video = 3.8,https://images2.static-bluray.com/movies/covers/216614_medium.jpg?t=1538362368,1971
Blood Rage (1987),167141,blu_ray,Arrow,Horror; Holiday,6.7,3D = 0.0; 4K = 0.0; Audio = 0.0; Extras = 0.0; Video = 0.0,https://images4.static-bluray.com/movies/covers/167141_medium.jpg?t=1477394267,"Jan 24, 2017"
Blood Suckers from Outer Space (1989),133467,blu_ray,Vinegar Syndrome,Horror; Comedy,6.3,3D = 0.0; 4K = 0.0; Audio = 4.5; Extras = 4.5; Video = 4.5,https://images4.static-bluray.com/movies/covers/133467_medium.jpg?t=1522206571,"May 29, 2018"
Bloody Moon (1981),102641,blu_ray,Severin Films,Horror; Mystery; Thriller,6.3,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 1.5; Video = 4.0,https://images4.static-bluray.com/movies/covers/102641_medium.jpg?t=1401339889,"Jul 08, 2014"
Bloody New Year (1987),229134,blu_ray,Vinegar Syndrome,Horror,5.7,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 2.0; Video = 4.0,https://images.static-bluray.com/movies/covers/229134_medium.jpg?t=1546351426,"Jan 01, 2019"
Bloody Sect (1982),250338,blu_ray,Vinegar Syndrome,Horror; Foreign,6.6,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 2.5; Video = 4.0,https://images.static-bluray.com/movies/covers/250338_medium.jpg?t=1565817400,"Sep 24, 2019"
Blow (2001),1040,blu_ray,New Line Cinema,Crime; Drama; History; Biography,7.3,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 4.3; Video = 4.3,https://images3.static-bluray.com/movies/covers/1040_medium.jpg?t=0,"Sep 23, 2008"
Blue Velvet (1986),20175,blu_ray,Metro-Goldwyn-Mayer,Drama; Psychological thriller; Surreal; Dark humor; Mystery; Film-Noir; Erotic; Crime,8.3,3D = 0.0; 4K = 0.0; Audio = 4.6; Extras = 3.9; Video = 4.5,https://images3.static-bluray.com/movies/covers/20175_medium.jpg?t=1521418087,"Nov 08, 2011"
BMX Bandits (1983),19262,blu_ray,Severin Films,Sport; Comedy; Action; Family,6.2,3D = 0.0; 4K = 0.0; Audio = 3.8; Extras = 2.8; Video = 4.0,https://images2.static-bluray.com/movies/covers/19262_medium.jpg?t=1378503407,"Mar 15, 2011"
Body Bags (1993),72799,blu_ray,Shout Factory,Horror; Thriller; Sci-Fi; Comedy,6.7,3D = 0.0; 4K = 0.0; Audio = 4.0; Extras = 2.0; Video = 4.0,https://images2.static-bluray.com/movies/covers/72799_medium.jpg?t=1386640297,"Nov 12, 2013"
Body Melt (1993),209722,blu_ray,Vinegar Syndrome,Horror; Sci-Fi; Comedy,6.4,3D = 0.0; 4K = 0.0; Audio = 5.0; Extras = 5.0; Video = 5.0,https://images4.static-bluray.com/movies/covers/209722_medium.jpg?t=1534272347,"Sep 25, 2018"
Bourne: The Ultimate Collection 4K (2002-2016),166271,blu_ray,Universal Studios,Action; Adventure; Thriller; Mystery,7.5,3D = 0.0; 4K = 4.5; Audio = 5.0; Extras = 4.5; Video = 4.5,https://images3.static-bluray.com/movies/covers/166271_medium.jpg?t=1497650070,2016
Braddock: Missing in Action III (1988),145517,blu_ray,Shout Factory,Martial arts; Thriller; War; Adventure; Drama; Action,6.4,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 0.0; Video = 3.8,https://images.static-bluray.com/movies/covers/145517_medium.jpg?t=1449255484,"Mar 15, 2016"
Brain Damage (1988),174357,blu_ray,Arrow,Horror; Comedy,7.2,3D = 0.0; 4K = 0.0; Audio = 3.5; Extras = 4.5; Video = 3.0,https://images.static-bluray.com/movies/covers/174357_medium.jpg?t=1487758398,"May 09, 2017"
Branded to Kill (1967),29790,blu_ray,Criterion,Foreign; Drama; Surreal; Crime; Thriller; Action,7.5,3D = 0.0; 4K = 0.0; Audio = 3.9; Extras = 3.8; Video = 4.1,https://images3.static-bluray.com/movies/covers/29790_medium.jpg?t=1533881683,"Dec 13, 2011"
Brawl in Cell Block 99 4K (2017),191415,blu_ray,RLJ Entertainment,Action; Crime; Thriller,7.6,3D = 0.0; 4K = 2.5; Audio = 4.0; Extras = 2.0; Video = 4.0,https://images3.static-bluray.com/movies/covers/191415_medium.jpg?t=1508576366,"Dec 26, 2017"
Breeders (1986),139435,blu_ray,Olive Films,Horror; Sci-Fi,6.1,3D = 0.0; 4K = 0.0; Audio = 3.0; Extras = 0.5; Video = 3.2,https://images3.static-bluray.com/movies/covers/139435_medium.jpg?t=1453858149,"Oct 27, 2015"
